podloga,rezultat,broj_asova,duple_servis_greske,broj_servis_poena ,ubacenih_prvih_servisa,osvojenih_prvih_servisa,osvojenih_drugih_servisa,broj_servis_gemova,sacuvanih_brejk_lopti,suocenih_brejk_lopti,nivo_takmicenja,best_of,pobedio,sacuvanih_br_lopti_modified
Clay,5-7 6-0 6-3,0.021,0.01,97,0.784,0.618,0.429,4.667,0.6,10,R32,3,1,0.6
Clay,6-7(3) 6-4 6-2,0.043,0,92,0.707,0.631,0.704,5,0.5,4,R32,3,1,0.5
Clay,6-2 7-5,0.145,0.048,62,0.581,0.806,0.577,5,1,4,R32,3,1,1
Clay,7-5 6-2,0.136,0.034,59,0.525,0.774,0.536,5,0.5,2,R32,3,1,0.5
Clay,6-3 4-6 7-6(5),0.097,0.01,103,0.563,0.741,0.578,5.333,0.714,7,R32,3,1,0.714
Clay,6-4 7-5,0.075,0.03,67,0.522,0.686,0.563,5.5,0.667,6,R32,3,1,0.667
Clay,6-4 6-7(6) 6-3,0.042,0.021,96,0.542,0.808,0.568,5.333,0.667,3,R32,3,1,0.667
Clay,6-4 6-2,0.019,0,53,0.717,0.632,0.8,4.5,0.5,2,R32,3,1,0.5
Clay,7-6(6) 6-4,0.028,0.014,71,0.69,0.816,0.5,5.5,0.8,5,R32,3,1,0.8
Clay,6-4 6-4,0.016,0.032,63,0.635,0.75,0.435,5,0.75,8,R32,3,1,0.75
Clay,7-5 3-6 6-2,0.027,0.027,74,0.662,0.592,0.6,4.667,0,4,R32,3,1,1
Clay,3-6 7-5 6-1,0.022,0.033,92,0.696,0.688,0.607,4.667,0.846,13,R32,3,1,0.846
Clay,6-3 6-4,0,0.035,57,0.596,0.676,0.609,4.5,0,2,R32,3,1,1
Clay,7-5 6-2,0.013,0.04,75,0.64,0.625,0.407,5,0.765,17,R32,3,1,0.765
Clay,6-4 7-6(1),0.013,0.013,79,0.734,0.569,0.524,5.5,0.6,10,R16,3,1,0.6
Clay,6-2 6-1,0.071,0,42,0.762,0.75,0.6,4,0.667,3,R16,3,1,0.667
Clay,1-6 7-5 6-4,0.04,0.02,99,0.707,0.614,0.586,5,0.636,11,R16,3,1,0.636
Clay,6-3 3-6 7-6(3),0.065,0.033,92,0.663,0.803,0.516,5,0.8,5,R16,3,1,0.8
Clay,6-2 6-7(4) 6-2,0.047,0.024,85,0.659,0.804,0.621,4.667,1,4,R16,3,1,1
Clay,4-6 6-1 6-4,0.164,0.041,73,0.575,0.881,0.613,4.667,0.5,2,R16,3,1,0.5
Clay,6-3 6-0,0.024,0.098,41,0.61,0.8,0.438,3.5,0.667,3,R16,3,1,0.667
Clay,6-7(4) 6-3 6-2,0.016,0.039,127,0.669,0.706,0.405,5,0.923,13,R16,3,1,0.923
Clay,6-1 6-2,0,0.057,53,0.604,0.719,0.571,4,0.667,3,QF,3,1,0.667
Clay,7-6(7) 6-3,0.048,0.012,84,0.643,0.685,0.567,5.5,0.625,8,QF,3,1,0.625
Clay,6-4 6-3,0.033,0.033,61,0.557,0.794,0.556,5,0.75,4,QF,3,1,0.75
Clay,6-4 6-2,0,0.026,76,0.697,0.679,0.522,4.5,0.857,7,SF,3,1,0.857
Clay,3-6 7-5 6-3,0.023,0.034,87,0.644,0.679,0.452,5,0.333,6,SF,3,1,0.333
Clay,6-4 6-3,0,0.037,54,0.722,0.667,0.733,5,0,1,F,3,1,1
Clay,6-2 6-3,0.053,0.018,57,0.509,0.759,0.429,4.5,0.5,4,R64,3,1,0.5
Clay,6-4 7-5,0.029,0.029,68,0.676,0.652,0.455,5.5,0.2,5,R64,3,1,0.2
Clay,6-4 6-4,0.021,0.021,48,0.625,0.867,0.778,5,0,0,R64,3,1,1
Clay,7-6(7) 6-3,0.053,0,75,0.787,0.712,0.75,5.5,0.875,8,R64,3,1,0.875
Clay,7-5 6-1,0.037,0.037,54,0.574,0.839,0.522,5,0,1,R64,3,1,1
Clay,7-6(3) 6-3,0.033,0.033,61,0.623,0.658,0.696,5,0.714,7,R64,3,1,0.714
Clay,7-6(4) 7-5,0.013,0.038,80,0.638,0.765,0.483,6,0.714,7,R64,3,1,0.714
Clay,6-1 4-6 6-3,0.08,0.04,75,0.613,0.674,0.586,4.333,0.5,4,R64,3,1,0.5
Clay,4-6 6-3 6-4,0.094,0.073,96,0.552,0.736,0.558,5,0.714,7,R64,3,1,0.714
Clay,3-6 6-3 7-6(4),0.128,0.011,94,0.702,0.833,0.464,5,0.75,4,R64,3,1,0.75
Clay,6-0 7-6(4),0.048,0.032,62,0.726,0.711,0.471,4.5,0.8,5,R64,3,1,0.8
Clay,3-6 7-5 7-6(5),0.023,0,86,0.744,0.688,0.727,5.333,0,4,R64,3,1,1
Clay,7-5 7-6(4),0.101,0.029,69,0.652,0.867,0.625,6,0,0,R64,3,1,1
Clay,6-3 7-6(5),0.114,0,70,0.657,0.696,0.667,5.5,0.75,4,R64,3,1,0.75
Clay,6-3 6-2,0.04,0,50,0.58,0.828,0.619,4.5,0,0,R64,3,1,1
Clay,6-3 6-4,0.148,0.016,61,0.623,0.789,0.478,5,0.5,4,R64,3,1,0.5
Clay,6-4 6-4,0.164,0,55,0.618,0.853,0.571,5,1,2,R64,3,1,1
